Date,Cas Totaux,Décès Cumul,Guérie Cumul
2020/03/13,17,0,0
2020/03/14,24,0,0
2020/03/15,50,0,0
2020/03/16,74,0,0
2020/03/17,94,0,1
2020/03/18,121,1,1
2020/03/19,139,1,2
2020/03/20,181,4,3
2020/03/21,219,4,4
2020/03/22,628,4,6
2020/03/23,1013,4,9
2020/03/24,1339,6,13
2020/03/25,1629,8,19
2020/03/26,2021,18,29
2020/03/27,2498,22,38
2020/03/28,2840,22,55
2020/03/29,3430,25,79
2020/03/30,4162,31,114
2020/03/31,4611,33,163
2020/04/01,5518,36,224
2020/04/02,6101,61,306
2020/04/03,6977,75,437
2020/04/04,7944,94,464
