Date,Analyses Négatives
2020/03/13,1399
2020/03/14,2270
2020/03/15,3079
2020/03/16,4778
2020/03/17,5213
2020/03/18,6331
2020/03/19,7666
2020/03/20,9242
2020/03/21,9786
2020/03/22,11211
2020/03/23,12202
2020/03/24,26634
2020/03/25,31854
2020/03/26,32335
2020/03/27,43589
2020/03/28,49364
2020/03/29,56285
2020/03/30,63378
2020/03/31,65082
2020/04/01,69024
2020/04/02,77469
2020/04/03,83230
2020/04/04,87992
2020/04/05,91533
2020/04/06,95586
2020/04/07,99239
2020/04/08,102463
2020/04/09,106540
2020/04/10,110823
2020/04/11,113925
2020/04/12,118013
2020/04/13,123203
2020/04/14,128314
